NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Pressure Air,Pressure Surface,Wind Speed,Ts
0,17.448,95.757,70.188,5.1734,NaN,7.338,95.1,974.67,554.13,3.759,-1.3433
0,14.363,102.56,67.116,5.1916,NaN,7.66,90,942.91,558.08,3.928,-1.2466
0,14.099,63.051,42.314,3.37,NaN,7.798,90.6,958.17,561.25,2.401,-1.1693
0,15.068,84.671,47.032,4.1404,NaN,8.087,83.5,900.62,560.45,3.114,-1.1886
0,6.4327,101.81,61.326,4.7836,NaN,7.123,88.2,890.75,550.21,4.056,-1.4401
34.86,-29.079,114.5,70.903,5.3931,0.24431,6.831,89.8,888.93,540.11,4.578,-1.6922
120.79,-30.049,145.6,23.78,7.3378,0.22222,7.637,61.54,643.73,543.98,5.369,-1.5952
97.24,-28.374,100.92,42.828,5.9977,0.2023,6.77,78.67,775.5,531.66,3.956,-1.9061
272.95,-4.2297,262.2,86.273,17.411,0.17637,7.962,71.26,762.1,565.23,9.87,-1.0728
181.21,9.1644,101.03,38.156,9.2967,0.19319,7.035,76.34,766.34,560.45,4.174,-1.1886
236.9,5.904,170.73,86.896,14.117,0.18759,6.427,84.9,817.39,560.45,7.617,-1.1886
324.29,5.4634,87.653,54.458,13.311,0.18294,6.374,90.9,871.97,554.13,3.859,-1.3433
186.51,5.904,114.11,36.538,9.6776,0.18873,7.182,72.42,734.35,552.56,4.527,-1.382
87.52,11.367,142.21,83.03,9.1435,0.20868,5.88,89.9,833.46,539.33,6.358,-1.7117
97.17,12.249,61.317,37.887,5.8852,0.20483,5.558,92.4,837.74,530.9,2.781,-1.9256
67.05,11.544,104.11,66.499,7.03,0.21762,6.121,92.4,871.02,538.56,4.505,-1.7311
47.06,11.544,97.665,59.618,6.0901,0.22966,5.845,91.4,845.32,531.66,4.281,-1.9061
23.62,9.8693,166.28,115.27,8.8872,0.26234,5.804,96,885.34,535.49,7.421,-1.8088
11.9,9.8693,135.16,98.145,7.1956,0.29209,5.576,98.3,892.34,529.38,6.09,-1.9646
1.033,10.927,136.6,93.902,6.8397,0.66591,5.566,96.2,872.68,528.62,6.147,-1.984
0,11.191,134.76,94.843,6.7928,NaN,5.014,98.2,857.28,518.06,6.297,-2.2573
0,10.486,91.151,58.793,4.5257,NaN,5.058,94.9,831.02,516.56,4.211,-2.2964
0,10.486,126.36,94.778,6.5342,NaN,5.367,100.1,895.6,523.32,5.734,-2.1205
0,10.662,137.15,110.92,7.2986,NaN,5.331,103.3,921.92,525.59,6.303,-2.062
0,10.662,75.482,53.946,3.9519,NaN,5.272,98.4,874.59,518.81,3.415,-2.2377
0,10.398,80.117,52.421,4.0322,NaN,5.203,95.1,841.22,518.81,3.662,-2.2377
0,10.839,114.08,79.748,5.7735,NaN,5.541,96.9,877.5,524.07,5.082,-2.101
0,12.16,72.795,46.014,3.6946,NaN,5.574,93.1,845.02,524.07,3.229,-2.101
0,11.632,26.939,19.569,1.6401,NaN,5.651,98.4,897.91,517.31,1.158,-2.2768
6.421,11.455,40.757,31.504,2.5428,0.30883,5.318,101.7,906.82,512.84,1.801,-2.3942
11.461,13.747,15.464,11.485,1.4713,0.2063,5.193,100.2,885.71,511.35,0.691,-2.4333
16.03,15.95,24.355,18.555,2.1126,0.1904,5.814,100,922.87,521.81,1.042,-2.1596
19.779,16.39,26.298,22.975,2.4103,0.24709,7.397,103.2,1062,545.53,1.002,-1.5564
32.2,17.976,69.205,57.059,4.9773,0.21731,6.791,101.3,1000,543.98,2.818,-1.5952
45.79,19.122,165.84,131.39,10.216,0.22456,8.31,96,1051.2,580.55,6.287,-0.70702
43.54,18.329,247.05,199.1,14.331,0.22911,8.45,96.4,1065.7,582.99,9.29,-0.6494
57.84,20.62,74.977,55.872,5.9045,0.22663,8.62,92.8,1037.8,582.18,2.762,-0.66861
89.34,19.21,160.53,145.47,11.694,0.20657,8.7,101,1135.6,594.51,6.055,-0.38098
83.84,19.739,119.9,93.397,8.9389,0.2038,8.62,94.5,1056.8,590.38,4.51,-0.47676
101.36,20.532,199.56,175.96,14.032,0.19683,8.56,100,1113.8,592.03,7.596,-0.43844
61.32,19.034,160.92,129.26,10.452,0.21616,8.74,95.4,1075.6,597.83,6.094,-0.30444
63.98,15.156,139.79,102.06,9.055,0.21976,8.43,92.3,1019,585.45,5.302,-0.59182
57.3,2.8198,173.94,84.334,8.9818,0.22041,8.73,78.13,880.25,573.25,6.187,-0.88011
15.141,-47.232,110.26,29.928,3.0493,0.27346,8.52,65.2,724.21,542.43,3.708,-1.634
0,-52.871,191.66,41.685,5.091,NaN,7.585,63.76,664.59,526.34,6.791,-2.0425
0,-51.461,122.49,29.399,2.8329,NaN,6.88,66.33,658.81,510.61,4.468,-2.4529
0,-28.903,47.649,16.444,0.99271,NaN,6.256,74.4,707.91,506.18,1.836,-2.5705
