NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Pressure Air,Pressure Surface,Wind Speed,Ts
366.4,-70.108,11.773,-16.727,8.2185,0.24344,5.115,44.2,388.59,645.74,1.465,0.75989
153.23,-69.226,22.349,-27.85,2.2145,0.2558,4.746,44.07,377.61,616.84,2.622,0.12657
38.89,-77.953,28.086,-33.062,-1.2423,0.32786,3.767,35.1,280.8,543.55,2.834,-1.6058
38.53,-69.324,17.089,-15.609,-0.82695,0.30414,3.163,52.15,399.8,562.78,2.157,-1.132
0,-76.286,10.273,-3.4331,-1.959,NaN,1.312,67.22,451.66,505.73,1.43,-2.5827
0,-79.521,15.224,-4.6328,-1.9445,NaN,1.637,64.19,441.47,497.59,1.859,-2.8012
0,-92.562,52.159,-38.393,-2.2228,NaN,2.895,32.73,246.2,456.09,4.12,-3.9684
0,-84.62,9.879,-0.67358,-2.1274,NaN,0.372,68.22,428.35,441.85,1.124,-4.3905
0,-101.78,42.27,-32.873,-2.6061,NaN,1.92,21.42,150.33,398.36,2.985,-5.7594
0,-101.98,44.817,-34.235,-2.5782,NaN,0.232,25.47,158.31,374.23,3.571,-6.5773
0,-98.544,15.491,-12.752,-2.7026,NaN,-0.763,26.19,151.42,363.23,1.356,-6.9661
0,-102.66,60.084,-39.742,-2.3222,NaN,0.842,19.28,125.24,351.21,3.961,-7.4027
0,-100.9,53.582,-44.451,-2.5887,NaN,1.069,9.95,65.698,353.72,3.476,-7.3107
0,-98.74,50.227,-40.893,-2.5221,NaN,0.072,14.27,87.675,346.24,3.562,-7.5872
0,-96.288,34.17,-24.768,-2.451,NaN,-0.867,21.02,120.61,335.25,2.599,-8.0037
11.72,-97.171,51.33,-37.502,-2.0205,0.52474,0.173,15.38,95.189,338.89,3.466,-7.8647
393.2,-107.27,28.746,-42.574,7.6759,0.30333,1.436,25.8,174.9,474.55,3.2,-3.438
601.9,-111.29,21.791,-42.912,13.244,0.25295,3.105,28.34,216.37,562.78,2.79,-1.132
782.3,-104.72,19.038,-52.988,18.157,0.22082,3.748,12.53,100.11,589.81,2.437,-0.48986
920.4,-98.152,25.23,-55.74,22.335,0.20587,5.194,17.18,151.87,616.84,2.7,0.12657
1002,-95.798,30.91,-61.097,24.712,0.19904,5.579,21.61,196.21,626.36,3.199,0.33817
1003.9,-86.679,35.32,-66.447,24.996,0.1988,6.005,22.17,207.32,635.03,3.499,0.52818
957.4,-79.521,27.879,-50.676,24.122,0.19883,6.999,20.84,208.69,658.57,2.537,1.033
855,-74.226,45.234,-66.597,21.423,0.20907,6.272,29.85,284.33,635.03,4.277,0.52818
