SWIN,SWOUT,SWNET,LWNET,EH,EE,melt [cm ice eq. day]
0,0,0,NaN,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN,NaN
0.75,-0.4275,0.3225,NaN,NaN,NaN,NaN
124.75,-71.108,53.643,NaN,NaN,NaN,NaN
354.25,-201.92,152.33,NaN,NaN,NaN,NaN
569.75,-324.76,244.99,NaN,NaN,NaN,NaN
738.75,-421.09,317.66,NaN,NaN,NaN,NaN
854,-486.78,367.22,NaN,NaN,NaN,NaN
910.25,-518.84,391.41,NaN,NaN,NaN,NaN
897.5,-511.58,385.93,NaN,NaN,NaN,NaN
813.5,-463.69,349.81,NaN,NaN,NaN,NaN
683.5,-389.59,293.91,NaN,NaN,NaN,NaN
421,-239.97,181.03,NaN,NaN,NaN,NaN
214,-121.98,92.02,NaN,NaN,NaN,NaN
73.25,-41.753,31.498,NaN,NaN,NaN,NaN
2,-1.14,0.86,NaN,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN,NaN
